,Round.1,Cell type number,Final.cell.type,X,Y,CD68,PDGFRb,CD56,PanCK,CAV1,Vim,CD90,PDPN,CD45,Ki67,MUC1,EpCAM,aSMA,CD3,CD4,CD8,CD31
16,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,6508.558824,5246.241176,731.8798077,0,148.1105769,6813.890084,0,6878.961538,2.490384615,0,0,0,0,71.36200717,8077.884615,51.15384615,54.54807692,38.94230769,0
17,PanCK+Vim-MUC1-,4,PanCK+Vim-MUC1-,6526.936508,5248.238095,404.3939394,0,47.08333333,7834.060606,0,5051.674242,1.727272727,0,0,0,0,20.58333333,14.20454545,47.64393939,58.28787879,52.9469697,0
18,Unknown,0,Unknown,6311.392857,5249.482143,237.5234375,0,46.109375,113.2109375,0,10608.36719,0,0,203.421875,0,0,0.078125,2.8671875,459.1953125,259.3203125,58.8671875,0
19,Unknown,0,Unknown,6416.777778,5249.833333,490.4782609,0,28.24347826,62.35652174,0,10378.08696,2.417391304,0,0,0,0,0.660869565,0.008695652,50.08695652,35.10434783,57.07826087,0
20,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,5987.044681,5252.138298,606.8455285,0,35.97560976,35131.62385,0,12708.51762,1.821138211,0,0,0,0,407.9082569,0,43.87262873,42.19783198,41.18699187,0
21,Endothelial ,19,Endothelial ,6171.564202,5253.571984,1314.902878,0,41.25179856,73.58273381,0,23825.49281,0.284172662,0,30.1294964,0,0,2.09352518,109.2302158,81.50719424,47.44604317,124.3309353,1799.571942
22,Unknown,0,Unknown,5874.042553,5255.468085,11869.51667,0,33.09166667,8796.083333,0,33014.74167,15.475,0,10.125,0,0,62.94166667,0,79.69166667,208.275,107.375,0.483333333
23,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,5959.450704,5257.15493,563.5365854,0,36.43292683,497.8658537,0,13040.51829,0,0,0.62804878,0,0,41.05487805,0.219512195,41.60365854,36.00609756,49.05487805,0
24,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6139.414508,5257.134715,5626.393162,0,56.98717949,51.19230769,0,19266.67094,6.008547009,0,82.04273504,0,0,5.166666667,76.67094017,146.9273504,76.0042735,146.5555556,119.9059829
25,Unknown,0,Unknown,6489.540741,5261.748148,436.7413793,0,102.8836207,40.06034483,0,6051.715517,13.51724138,0,0,0,0,2.331896552,1055.836207,49.17672414,68.22413793,48.32758621,0
26,Endothelial ,19,Endothelial ,5881.236364,5262.363636,17838.9703,0,53.67326733,297.950495,0,15334.93069,69.88118812,0,11.06930693,0,0,63.64356436,307.6633663,35.72277228,96.34653465,40.16831683,1953.29703
27,Immune ,20,Immune ,6303.613707,5263.395639,492.5876289,0,31.69415808,97.95189003,0,13946.86254,0.017182131,0,1175.694158,0,0,0.04467354,0.096219931,1335.340206,595.6151203,59.17182131,0
28,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,5852.037657,5266.702929,1748.458955,0,41.20149254,110.130597,0,18446.33209,17.54477612,0,67.40298507,0,0,4.376865672,4202.179104,157.6529851,130.0298507,65.69776119,159.3992537
29,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,6004.909091,5267.181818,613.826087,0,41.04347826,14856.36893,0,14149.93789,1.596273292,0,0,0,0,276,0,47.43478261,62.38509317,59.64596273,0
30,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,5818.390625,5268.84375,763.2339181,0,57.42690058,77.69590643,0,5820.900585,0.409356725,0,1.233918129,0,0,0,365.8070175,47.94736842,60.80116959,37.14035088,0
31,Unknown,0,Unknown,6113.907692,5269.861538,5732.628713,0,79.74257426,151.0346535,0,15981.77228,3.084158416,0,82.75247525,0,0,4.727722772,0.113861386,95.12871287,192.6534653,1236.90099,0
32,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,6537.903846,5268.653846,399.2971014,0,113.6811594,29433.59732,0,15971.64493,20.57971014,0,2.246376812,0,0,3.154362416,722.884058,44.37681159,44.41304348,72.62318841,0
33,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6151.404372,5271.36612,8163.544186,0,79.40930233,38.94418605,0,19208.97674,0.381395349,0,488.8139535,0,0,1.265116279,705.4186047,519.4651163,171.4232558,235.8465116,17.6744186
34,Endothelial ,19,Endothelial ,5893.274725,5275.846154,1701.813278,0,48.75103734,2.925311203,228.6680498,14621.91701,2198.390041,0,0.572614108,0,0,1.107883817,4183.53527,51.84647303,54.23236515,45.51037344,7651.448133
35,Endothelial ,19,Endothelial ,5866.795455,5279.840909,4015.565891,0,67.36434109,83.03875969,0,9385.131783,7.875968992,0,74.58139535,0,0,1.209302326,207.2790698,39.96899225,103.9069767,52.13953488,227.7131783
36,Unknown,0,Unknown,6500.58427,5279.067416,2741.564706,0,76.15882353,100.8823529,0,14457.10588,106.6058824,0,13.29411765,0,0,3.758823529,1.441176471,59.36470588,65.26470588,63.31176471,0
37,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,6546.343284,5279.38806,586.4217687,0,118.1360544,23303.23853,0,13276.59184,33.15646259,0,0,0,0,94.80733945,66.73469388,39.76190476,57.08843537,56.89795918,0
38,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,5947.383178,5280.228972,1159.685619,0,31.83946488,18320.19732,0,13302.76589,56.02006689,0,0.986622074,0,0,1575.886288,5381.505017,63.06688963,30.98327759,54.96989967,0
39,PanCK+Vim-MUC1-,4,PanCK+Vim-MUC1-,6022.384117,5283.931929,412.2397959,0,57.18622449,12702.21875,0,6350.204082,0.841836735,0,0,0,0,33.29166667,8915.755102,50.58673469,55.65816327,59.24489796,0
40,Unknown,0,Unknown,6274.333333,5284.309524,332.5486726,0,42.43362832,35.30973451,0,12204.50442,5.115044248,0,0,0,0,0,0,50.28318584,60.30973451,69.91150442,0
41,Unknown,0,Unknown,6286.611111,5283.405556,284.3198198,0,33.58108108,69.85585586,0,10716.03153,2.189189189,0,23.2027027,0,0,0.77027027,0,107.2477477,53.21171171,41.4009009,0
42,Unknown,0,Unknown,6527.186813,5285.945055,1241.881481,0,59.51851852,11.81851852,0,10919.54815,1.659259259,0,6.114814815,0,0,2.392592593,2.355555556,44.26666667,48.95185185,64.24814815,0
43,Immune ,20,Immune ,6235.984536,5292.896907,2452.689815,0,36.89814815,69.28240741,0,15207.9537,0.115740741,0,811.1759259,0,0,0.449074074,0,2254.800926,497.3055556,129.5324074,0
44,Unknown,0,Unknown,6196.757576,5292.939394,603.9090909,0,31.17355372,28.3553719,0,10042.39669,0,0,372.1322314,0,0,0.380165289,139.1404959,772.6115702,41.52892562,505.1404959,0
45,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,6044.537037,5297.203704,973.9808917,0,79.46496815,12630.21656,0,23374.47134,3.331210191,0,0,0,0,63.43312102,1542.745223,39.56050955,33.2866242,82.15286624,0
46,Unknown,0,Unknown,6113.8125,5298.511719,578.6278195,0,192.0225564,145.1541353,0,4303.537594,272.8984962,0,161.2894737,0,0,3.34962406,269.0789474,334.1541353,374.6090226,928.2894737,0
47,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6196.347826,5304.26087,286.673913,0,47.18478261,7.891304348,0,7129.565217,1.315217391,0,179.6521739,0,0,0.347826087,112.326087,592.9456522,41.40217391,183.0652174,99.94565217
48,Immune ,20,Immune ,6301.632959,5302.089888,1029.505535,0,54.58302583,60.25830258,0,25524.97786,1.57195572,0,2160.118081,0,0,2.793357934,176.0110701,2094.04797,489.1143911,95.7195572,0.033210332
49,Unknown,0,Unknown,6227.339623,5304.674528,655.1226415,0,74.05660377,30.25943396,0,13420.16038,1.419811321,0,290.8962264,0,0,3.405660377,46.02358491,981.4245283,210.9811321,58.20754717,0
50,Unknown,0,Unknown,6325.988506,5304.816092,654.3517241,0,40.53793103,67.65517241,0,14268.85517,3.103448276,0,0.213793103,0,0,0.075862069,3.055172414,51.51034483,82.80689655,46.33793103,0
51,Unknown,0,Unknown,6425.038961,5305.757576,377.8859416,0,143.5251989,123.1803714,0,3101.262599,232.5623342,0,125.5119363,0,0,0.320954907,3837.055703,298.3183024,146.6259947,40.67639257,0
52,Unknown,0,Unknown,5899.544828,5308.8,1595.522727,0,24.83333333,73.75,0,7895.511364,0.416666667,0,81.18181818,0,0,0.458333333,5.53030303,40.08712121,64.38636364,34.8219697,0
53,Immune ,20,Immune ,6245.503817,5308.687023,556.2063492,0,52.92857143,96.1984127,0,11306.69841,0,0,2963.436508,0,0,0.507936508,15.07142857,2405.404762,338.3888889,593.8253968,0
54,Endothelial ,19,Endothelial ,6183.260135,5311.094595,702.4411765,0,44.81617647,72.55514706,0,10922.20221,0.448529412,0,7.058823529,0,0,1.735294118,0.040441176,153.9375,49.68382353,70.21691176,113.7830882
55,Unknown,0,Unknown,6544.434783,5311.391304,399.8321678,0,39.04895105,163.6503497,0,2911.118881,6.230769231,0,0.545454545,0,0,2.986013986,1.41958042,37.37762238,31.51748252,24.53846154,0
56,Unknown,0,Unknown,5880.239726,5311.80137,22372.12736,0,75.96698113,90.52358491,0,31447.25472,0,0,427.9811321,0,0,1.25,0,54.89150943,109.5943396,52.00943396,0.301886792
57,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6139.762712,5316.79661,3376.713333,0,76.18666667,67.3,0,35801.22667,0,0,43.16666667,0,0,3.486666667,1545.46,46.29333333,115.7533333,81.04666667,0
58,Endothelial ,19,Endothelial ,6314.09375,5316.96875,640.0113636,0,77.81818182,152.9318182,0,8727.284091,6.988636364,0,0,0,0,1.875,173.5113636,8.034090909,34.28409091,46.36363636,5553.522727
59,PanCK+Vim-MUC1-,4,PanCK+Vim-MUC1-,5967.740854,5319.631098,658.3704918,0,43.70819672,15238.30634,0,2600.104918,0,0,0.239344262,0,0,411.4084507,7.629508197,63.21311475,37.6,39.01311475,0
60,Immune ,20,Immune ,6255.909091,5318.509091,364.8647343,0,50.98067633,38.46859903,0,12770.13043,0.111111111,0,1435.342995,0,0,1.299516908,11.8647343,571.1449275,195.5990338,360.4009662,0
61,Unknown,0,Unknown,6323.781955,5318.789474,749.0065789,0,51.46710526,81.24342105,0,16097.63158,4.486842105,0,1.223684211,0,0,3.019736842,0,46.51973684,27.53289474,78.75657895,10.15789474
62,Unknown,0,Unknown,6281.941935,5319.887097,433.7330827,0,29.23684211,73.60902256,0,5102.296992,0,0,372.7857143,0,0,0.139097744,0.721804511,907.518797,293.8082707,29.90977444,0
63,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,6063.699099,5322.900901,544.109375,0,47.328125,17052.22296,0,12846.30469,0.2109375,0,0,0,0,578.3727121,190.6510417,54.390625,49.2734375,56.11197917,0
64,Endothelial ,19,Endothelial ,6158.5,5321.448905,704.467128,0,39.87543253,44.76470588,0,14032.05882,0,0,19.55709343,0,0,2.69550173,2.269896194,105.1384083,63.1384083,57.96885813,15.61245675
65,Unknown,0,Unknown,6515.172414,5322.172414,850.3706897,0,73.50862069,26,0,14304.82759,2.689655172,0,58.68103448,0,0,0.00862069,0,374.3965517,89.02586207,62.43103448,0
66,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6416.725581,5328.604651,595.5345622,0,61.76497696,52.64976959,10.56221198,11114.24885,3.783410138,0,21.4562212,0.027906977,0,0.156682028,407.6682028,59.88479263,60.63133641,41.30875576,0
67,Unknown,0,Unknown,6524.689655,5329.655172,1458.563291,0,54.63924051,46.62025316,0,2724.449367,0.018987342,0,1265.151899,0,0,11.24050633,0.240506329,1782.740506,372.0443038,40.77848101,0
68,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,5803.131034,5330.372414,685.0381356,0,46.54237288,32.06355932,13.09322034,11910.11864,0.61440678,0,0,0,0,6.546610169,25179.02966,40.22881356,44.19067797,57.75,0
69,Endothelial ,19,Endothelial ,6177.475248,5330.920792,660.1452514,0,29.54189944,104.0446927,0,11079.34637,0,0,1.284916201,0,0,0.078212291,0,59.68715084,37.92178771,57.92178771,491.3575419
70,Immune ,20,Immune ,6301.014652,5332.824176,780.7614679,0,43.94495413,61.75229358,0,24396.47706,0.114678899,0,1647.348624,0,0,2.775229358,190.8669725,1125.431193,307.0091743,81.49082569,2.568807339
71,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6493.019231,5331.846154,785.4710145,0,72.27536232,83.5,0,10261.07971,7.782608696,0,7.789855072,0,0,1.985507246,642.5144928,35.29710145,83.47101449,78.02898551,0
72,PanCK+Vim-MUC1-,4,PanCK+Vim-MUC1-,5991.701493,5335.567164,251.1804124,0,33.28350515,12098.49558,0,437.6701031,0.75257732,0,0,0,0,1.637168142,0,51.37628866,34.67525773,25.49484536,0
73,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6436.818182,5336.713636,3649.264957,0,68.6965812,69.16666667,2.585470085,16497.52564,855.8632479,0,799.7094017,29320.72727,0,4.384615385,2004.102564,342.7264957,336.8846154,83.42735043,0
74,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,5955.044944,5337.292135,704.9591837,0,58.53061224,2490.943878,0,12863.22449,2.765306122,0,1.387755102,0,0,815.1734694,6202.908163,58.55102041,58.02040816,42.45918367,0
75,Unknown,0,Unknown,6253.635514,5339.803738,8233.547619,0,57.85119048,69.02380952,0,30037.83333,0,0,493.172619,0,0,19.93452381,2.178571429,164.9107143,497.4107143,103.8035714,0
76,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6312.00813,5340.439024,540.2253521,0,57.1056338,42.85915493,0,10655.73944,27.21126761,0,213.9084507,0,0,7.077464789,319.3591549,101.7816901,116.6619718,64.87323944,0
77,Unknown,0,Unknown,6505.952381,5341.154762,2990.487952,0,42.46385542,122.0963855,0,26384.95181,0.006024096,0,122.1686747,0,0,5.584337349,8.084337349,105.5120482,86.38554217,130.4939759,0
78,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6438,5346.033333,1117.316456,0,60.43037975,46.7721519,0,10964.93671,0.506329114,0,122.1772152,2401.866667,0,10.11392405,592.7341772,132.2658228,227,57.69620253,0
79,PanCK+Vim-MUC1-,4,PanCK+Vim-MUC1-,6095.555556,5346.088889,359.6523438,0,39.54296875,4373.546875,0,1336.820313,0,0,0.76953125,0,0,4.9296875,0.25390625,41.4296875,36.05859375,30.1640625,0
80,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6463.420213,5344.345745,1457.490909,0,142.0290909,59.12727273,0,15379.40727,500.9236364,0,1245,0,0,2.425454545,639.8981818,1548.949091,533.1854545,48.06545455,0
81,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,5889.172222,5346.783333,578.214876,0,129.3181818,233.7561983,0,8411.433884,0.08677686,0,7.801652893,0,0,0.376033058,60.51652893,118.4256198,238.7644628,792.6322314,0
82,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,5986.138686,5350.321168,1043.932075,0,85.9245283,14348.92857,14.69056604,14893.69811,5.686792453,0,0.713207547,0,0,1015.642857,10233.4717,116.4113208,66.94716981,62.98867925,0
83,Unknown,0,Unknown,6335.95614,5351.614035,5862.028926,0,247.2231405,108.1280992,0,28750.03306,244.8140496,0,726.6198347,0,0,2.371900826,89.66942149,48.55785124,373.7107438,76.94214876,2.578512397
84,Immune ,20,Immune ,6281.099548,5354.00905,404.0833333,0,44.65,42.4125,0,7276.8,0,0,3295.029167,0,0,2.804166667,0,2862.441667,664.9708333,52.57916667,0
85,Immune ,20,Immune ,6247.017167,5357.283262,9567.868778,0,67.91402715,74.50226244,0,27394.65158,13.60633484,0,3313.882353,0,0,0.986425339,450.3438914,3200.882353,430.9049774,96.90950226,0
86,PanCK+Vim-MUC1-,4,PanCK+Vim-MUC1-,6004.089286,5358.160714,398.2989691,0,58.90721649,5519.938144,0,2986.670103,1.072164948,0,0.402061856,0,0,512.2886598,5523.350515,22.31958763,31.93814433,51.16494845,0
87,Immune ,20,Immune ,6263.346154,5362.2,2616.01227,0,34.73619632,61.36196319,0,6127.08589,1.147239264,0,3168.337423,0,0,2.245398773,0.251533742,1197.797546,293.6993865,37.79754601,0
88,Endothelial ,19,Endothelial ,6356.078947,5359.144737,1077.641667,0,1346.1,82.12916667,0,17664.59583,199.6791667,0,3.3,0,0,0,2614.779167,110.325,56.98333333,64.25,367.1791667
89,PanCK+Vim-MUC1-,4,PanCK+Vim-MUC1-,6021.987755,5360.636735,716.975,0,46.91666667,18146.80952,0,4563.241667,0.75,0,0.675,0,0,1545.531136,0.2,61.01666667,53.8375,60.1625,0
90,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6489.836735,5358.75,5299.071749,0,88.95067265,102.5874439,0,11965.20179,275.2690583,0,408.8116592,0,0,2.605381166,1825.278027,635.0941704,180.4977578,50.86098655,0
91,Unknown,0,Unknown,6517.506329,5361.088608,352.0112994,0,79.3220339,86.8079096,0,6015.412429,10.27118644,0,9.86440678,0,0,2.485875706,3.892655367,78.17514124,45.23163842,43.8700565,0
92,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6573.791667,5364.291667,2509.823009,0,141.1858407,91.36283186,0,25741.21239,0.274336283,0,490.539823,0,0,0,591.7433628,97.65486726,93.05309735,150.300885,0
93,Unknown,0,Unknown,5892.542857,5367.485714,980.4,0,33.95454545,134.8818182,0,21977.39091,14.88181818,0,0,0,0,0,4.872727273,48.63636364,47.95454545,91.36363636,0
94,PanCK+Vim-MUC1-,4,PanCK+Vim-MUC1-,6053.724221,5368.527578,304.3227666,0,26.40057637,14393.39216,0,544.1613833,0.432276657,0,0,0,0,0.019607843,0,35.1037464,26.55907781,44.26512968,0
95,Unknown,0,Unknown,5903.588235,5368.470588,496.787037,0,32.22222222,54.62962963,0,12955.64815,7.87037037,0,0.833333333,0,0,0,0,43.16666667,107.7685185,73.60185185,0
96,Unknown,0,Unknown,6507.090909,5371.909091,1048.102041,0,56.56122449,164.6020408,0,10974.67347,24.37755102,0,31.56122449,0,0,1.397959184,0.112244898,43.53061224,112.1530612,79.86734694,0
97,Unknown,0,Unknown,6484.544118,5374.816176,921.822695,0,49.68085106,78.73758865,0,12579.52482,18.64539007,0,353.1489362,0,0,0.042553191,41.67375887,1373.780142,126.4042553,42.23404255,0
98,Unknown,0,Unknown,6156.281915,5374.861702,439.807947,0,37.22847682,41.13576159,0,5826.221854,0.695364238,0,99.91390728,0,0,4.860927152,7371.963576,1566.423841,158.0794702,49.63576159,0
99,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6185.875,5375.806818,359.5464481,0,58.96174863,115.2295082,0,7972.901639,0,0,0,0,0,0.114754098,89.69945355,62.86885246,52.3442623,36.09836066,0
100,Endothelial ,19,Endothelial ,5941.24359,5379.615385,2094.155405,0,60.80405405,99.22972973,0,22560.73649,3.608108108,0,0,0,0,3.824324324,1290.797297,35.33783784,64.40540541,68.50675676,273.5067568
101,Unknown,0,Unknown,6008.583333,5380.375,1905.734043,0,133.4255319,0,0,1340.617021,0.20212766,0,21.15957447,0,0,0,55586.08511,70.15957447,81.59574468,59.46808511,0
102,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6022.789474,5380.189474,2397.055556,0,121.8981481,7976.217593,1.555555556,22357.125,6.939814815,0,300.7037037,0,0,1791.101852,17196.89352,1747.555556,473.2083333,95.96296296,0
103,aSMA+CD90+PDGFRb-PDPN-CAV1-,12,aSMA+CD90+PDGFRb-PDPN-CAV1-,6367.426829,5379.829268,590.1122449,0,144.8214286,94.07142857,0,12595.79592,455.9744898,0,0,0,0,1.596938776,21034.34184,61.95918367,64.36734694,48.72959184,0
104,PanCK+Vim-MUC1-,4,PanCK+Vim-MUC1-,5826.828571,5380.657143,445.6031746,0,38.21428571,4016.84127,0,4815.968254,1.277777778,0,0,0,0,4.880952381,2497.674603,62.38888889,38.1031746,42.34126984,0
105,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,5972.423077,5384.807692,1409.327731,0,106.8235294,147.5042017,0,6952.991597,16.57142857,0,0.495798319,0,0,1.899159664,31174.88235,41.48739496,43.18487395,54.53781513,0
106,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,5806.603175,5382.968254,614.4166667,0,46.41666667,6633.133333,0,11122.89167,0,0,0,0,0,19.19166667,0,43.90833333,74.45,54.3,0
107,Unknown,0,Unknown,6509.587302,5384.412698,7907.69697,0,36.35606061,27.90909091,0,21944.04545,15.10606061,0,272.6666667,0,0,1.25,0.810606061,316.1742424,202.2424242,78.25,0
108,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,6135.81694,5385.773224,567.2298851,0,51.48563218,13687.75358,0,7196.385057,0.278735632,0,0,0,0,205.6045845,5003.158046,37.46551724,49.33333333,53.44827586,0
109,Unknown,0,Unknown,6491.183206,5387.549618,1339.783784,0,36.77702703,70.39864865,0,21977.21622,18.08783784,0.027027027,0,0,0,1.101351351,2.668918919,70.91891892,38.57432432,74.22972973,0
110,Endothelial ,19,Endothelial ,5936.828947,5388.223684,2158.592593,0,50.64444444,114.7925926,0,12094.43704,0,0,1.607407407,0,0,2.718518519,0,54.60740741,57.58518519,57.6962963,2306.511111
111,Unknown,0,Unknown,6247,5387.477273,2126.432624,0,290.9858156,68.30496454,0,14990.05674,0,0,480.5248227,0,0,2.156028369,1.404255319,433.8794326,1187.198582,1256.489362,54.36170213
112,PanCK+Vim-MUC1-,4,PanCK+Vim-MUC1-,5796.352381,5390.62381,420.4280936,0,44.93311037,2802.782609,0,3236.384615,0,0,0,0,0,1.341137124,0,57.89632107,40.81270903,45.81939799,0
113,Unknown,0,Unknown,6001.127273,5391.281818,1201.446701,0,531.964467,83.19796954,0,3650.477157,0,0,0.060913706,0,0,1.187817259,43851.33503,51.47715736,49.57360406,44.49238579,0
114,Unknown,0,Unknown,6106.114286,5398.228571,529.8227848,0,33.76582278,45.24050633,0,803.2911392,0,0,12.09493671,0,0,0.765822785,0,79.10759494,55.91772152,31.30379747,0
115,aSMA+CD90+PDGFRb-PDPN-CAV1-,12,aSMA+CD90+PDGFRb-PDPN-CAV1-,6376.614786,5400.766537,1117.851064,0,284.9300912,74.49240122,0,24389.44681,367.224924,4587.364742,2.407294833,0,0,0.197568389,5240.899696,67.8449848,52.35258359,79.45896657,0
116,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,5964.507692,5400.269231,1428.680921,0,86.52302632,87.63157895,0,15572.78947,29.26644737,0,34.94736842,0,0,0.720394737,6266.434211,150.2434211,75.26973684,62.75,0
